question_no,question_label,data_column_role,vendor_variable,vendor_label
Q45_M6,"현재 갖춰져 있는 스마트워크 환경 요소__스마트 회의 장비 (전자 칠판, 터치 모니터 등)",expanded,Q40[M6],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M7,"현재 갖춰져 있는 스마트워크 환경 요소__IOT 환경 조절 (모바일로 온/습도, 공기질 등 조절하는 인프라 제어 및 관리)",expanded,Q40[M7],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M8,"현재 갖춰져 있는 스마트워크 환경 요소__내부 인트라넷 (내부 문서, 결재 등 진행하는 기업 전용 포털)",expanded,Q40[M8],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M9,"현재 갖춰져 있는 스마트워크 환경 요소__온라인 협업 툴 - Slack, Teams, 노션 등 스마트 워크 툴",expanded,Q40[M9],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M10,현재 갖춰져 있는 스마트워크 환경 요소__안면인식 게이트,expanded,Q40[M10],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M11,현재 갖춰져 있는 스마트워크 환경 요소__스마트 출퇴근 관리 어플리케이션,expanded,Q40[M11],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M12,현재 갖춰져 있는 스마트워크 환경 요소__로봇/AI 비서,expanded,Q40[M12],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M13,현재 갖춰져 있는 스마트워크 환경 요소__기타 (직접 입력),expanded,Q40[M13],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M13_TEXT,현재 갖춰져 있는 스마트워크 환경 요소__기타_텍스트,expanded,Q40[M13],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q46,원활한 스마트 워크가 가능한 환경인가,raw,Q41,현재 갖추어진 업무 환경이 원활한 스마트워크*를 하기에 충분한 환경이라고 생각하시나요? * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q47,현재 사용 중인 IT장비,raw,Q42,업무시 사용하고 있는 개인용 IT 장비를 모두 선택해주세요.
Q47_M1,현재 사용 중인 IT장비__노트북,expanded,Q42[M1],업무시 사용하고 있는 개인용 IT 장비를 모두 선택해주세요.
Q47_M2,현재 사용 중인 IT장비__데스크탑,expanded,Q42[M2],업무시 사용하고 있는 개인용 IT 장비를 모두 선택해주세요.
Q47_M3,현재 사용 중인 IT장비__태블릿,expanded,Q42[M3],업무시 사용하고 있는 개인용 IT 장비를 모두 선택해주세요.
Q47_M4,현재 사용 중인 IT장비__유선 전화,expanded,Q42[M4],업무시 사용하고 있는 개인용 IT 장비를 모두 선택해주세요.
Q47_M5,현재 사용 중인 IT장비__개인 휴대폰 이외 업무용 전화,expanded,Q42[M5],업무시 사용하고 있는 개인용 IT 장비를 모두 선택해주세요.
Q47_M6,현재 사용 중인 IT장비__기타(직접 입력),expanded,Q42[M6],업무시 사용하고 있는 개인용 IT 장비를 모두 선택해주세요.
Q47_M6_TEXT,현재 사용 중인 IT장비__기타_텍스트,expanded,Q42[M6],업무시 사용하고 있는 개인용 IT 장비를 모두 선택해주세요.
Q48,IT 인프라를 충분히 지원해주는가,raw,Q43,귀하의 기업은 업무에 필요한 IT 인프라(하드웨어/소프트웨어)를 충분히 지원해주고 있나요?
Q49,심리스(Seamless) 환경이 구축되어 있는가,raw,Q44,"현재 사용하시는 업무 툴, 인트라넷, 시스템들이 '유기적으로 잘 연결*'되어 있나요? * 소통 및 업무용 어플리케이션 통합 운용, 다목적 사원증/출입증 제공, 기업 전용 UI/UX 중복작업 필요 없는 환경"
Q50,사내 정보에 쉽게 접근할 수 있는 시스템이 있는가,raw,Q45,"사내 업무 정보, 지식 콘텐츠*등을 쉽게 검색하고 활용할 수 있는 시스템이 갖춰져 있나요? * 업무 매뉴얼, 관련 자료, 진행업무 정보, 조직문화 가이드, 사내 규칙 등"
Q51,새로운 IT기술 도입에 적극적인가,raw,Q46,귀하의 기업은 업무 혁신을 위한 새로운 IT 인프라 및 기술적 지원 도입에 적극적인가요?
Q52,새로운 IT기술 내재화를 위한 교육에 적극적인가,raw,Q47,"귀하의 기업은 직원들에게 새로운 IT기술과 업무방식을 내재화하기 위해 적극적으로 지원(교육, 피드백 등)하고 있나요?"
Q53,업무에 AI를 활용하고 있는가,raw,Q48,현재 업무 진행시 생성형 AI를 비롯한 인공 지능을 활용하고 계신가요?
Q54,AI가 현 직무를 대체할 수 있다고 생각하는가,raw,Q49,생성형 AI를 비롯한 인공 지능이 앞으로 귀하의 직무 혹은 직업군을 대체할 수 있을 것이라고 예상하시나요?
Q55,AI의 긍정적 영향,raw,Q50,다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M1,AI의 긍정적 영향__반복적&일상적 작업 수행의 자동화,expanded,Q50[M1],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M2,AI의 긍정적 영향__보다 효율적인 업무 스케쥴 관리,expanded,Q50[M2],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M3,AI의 긍정적 영향__단위 시간당 업무 생산성 향상 (작업 속도 향상),expanded,Q50[M3],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M4,AI의 긍정적 영향__과업 목표 달성에 필요한 업무 에너지 절약,expanded,Q50[M4],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M5,AI의 긍정적 영향__업무 프로세스에 필요한 정보 및 스킬 습득 용이,expanded,Q50[M5],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M6,AI의 긍정적 영향__보다 우수한 퀄리티의 업무 필요 정보 습득,expanded,Q50[M6],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M7,AI의 긍정적 영향__기업의 업무&지식 컨텐츠 접근성 증진,expanded,Q50[M7],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M8,AI의 긍정적 영향__보다 창의적인 아이디어 도출,expanded,Q50[M8],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M9,AI의 긍정적 영향__업무 보조 툴 사이의 연계 강화하여 통합적 활용,expanded,Q50[M9],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M10,AI의 긍정적 영향__기타 (직접 입력),expanded,Q50[M10],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q55_M10_TEXT,AI의 긍정적 영향__기타_텍스트,expanded,Q50[M10],다음은 인공지능(AI) 관련 기술의 성장이 직장에 가져올 수 있을 것이라 기대되는 긍정적인 내용들을 나열한 것입니다. 업무에 가장 도움이 될 것이라고 예상되는 순서대로 최대 3개까지 선택해 주세요.
Q56,기술적 환경 만족도,raw,Q51,우리 회사의 기술적 환경에 대하여 얼마만큼 만족하시나요?
Q57,출퇴근 소요 시간,raw,Q53,귀하께서 사무실로 출퇴근하는 시간은 얼마나 걸리나요?편도 기준으로 응답해 주세요. (Door to Door) * 분 단위로 입력해주세요.
Q58,이상적인 출퇴근 소요 시간,raw,Q54,적정 출퇴근하는 시간은 어느 정도라고 생각하시나요?편도 기준으로 응답해 주세요. (Door to Door) * 분 단위로 입력해주세요.
Q59,현재 좌석 운영 방식 (고정/자율),raw,Q55,현재 오피스 좌석 운영 방식은 무엇인가요?
Q59_TEXT,현재 좌석 운영 방식 (고정/자율)__기타_텍스트,expanded,Q55[TEXT],현재 오피스 좌석 운영 방식은 무엇인가요?
Q60,선호하는 좌석 운영 방식 (고정/자율),raw,Q56,다음 중 더 선호하는 업무 좌석 운영 방식을 선택해 주세요.
Q60_TEXT,선호하는 좌석 운영 방식 (고정/자율)__기타_텍스트,expanded,Q56[TEXT],다음 중 더 선호하는 업무 좌석 운영 방식을 선택해 주세요.
Q61,현재 업무층 레이아웃,raw,Q57,"현재 근무하시는 업무층의 오피스 레이아웃*에 가장 가까운 항목을 선택해 주세요. * 오피스 레이아웃이란? 책상, 파티션 등의 구성 요소들을 오피스 공간에 배치하는 방식을 말합니다."
Q61_TEXT,현재 업무층 레이아웃__기타_텍스트,expanded,Q57[TEXT],"현재 근무하시는 업무층의 오피스 레이아웃*에 가장 가까운 항목을 선택해 주세요. * 오피스 레이아웃이란? 책상, 파티션 등의 구성 요소들을 오피스 공간에 배치하는 방식을 말합니다."
Q62,선호하는 업무층 레이아웃,raw,Q58,"다음 중 가장 선호하는 오피스 레이아웃*을 선택해 주세요.* 오피스 레이아웃이란?책상, 파티션 등의 구성 요소들을 오피스 공간에 배치하는 방식을 말합니다."
Q62_TEXT,선호하는 업무층 레이아웃__기타_텍스트,expanded,Q58[TEXT],"다음 중 가장 선호하는 오피스 레이아웃*을 선택해 주세요.* 오피스 레이아웃이란?책상, 파티션 등의 구성 요소들을 오피스 공간에 배치하는 방식을 말합니다."
Q63,현재 좌석 구획 정도,raw,Q59,현재 업무 시 이용하는 좌석의 구획 정도에 대한 설명으로 가장 가까운 항목을 선택해 주세요.
Q63_TEXT,현재 좌석 구획 정도__기타_텍스트,expanded,Q59[TEXT],현재 업무 시 이용하는 좌석의 구획 정도에 대한 설명으로 가장 가까운 항목을 선택해 주세요.
Q64,선호하는 업무 공간 유형(오픈/프라이빗),raw,Q60,다음 중 더 선호하는 업무 공간 유형을 선택해 주세요.
Q65,선호하는 좌석 유형,raw,Q61,다음 중 가장 선호하는 좌석 유형을 선택해 주세요.
Q65_TEXT,선호하는 좌석 유형__기타_텍스트,expanded,Q61[TEXT],다음 중 가장 선호하는 좌석 유형을 선택해 주세요.
Q66,오피스 내 환경 개선 요소,raw,Q62,다음 중 우리 기업의 오피스에 마련되어 있는 환경 개선 요소를 모두 선택해 주세요.
Q66_M1,오피스 내 환경 개선 요소__환경 개선을 위한 요소 없음,expanded,Q62[M1],다음 중 우리 기업의 오피스에 마련되어 있는 환경 개선 요소를 모두 선택해 주세요.
Q66_M2,"오피스 내 환경 개선 요소__개인 맞춤 환경 세팅을 위한 요소 (높이 조절 책상/태스크체어, 개인 조명 등)",expanded,Q62[M2],다음 중 우리 기업의 오피스에 마련되어 있는 환경 개선 요소를 모두 선택해 주세요.
Q66_M3,"오피스 내 환경 개선 요소__소음 개선을 위한 요소 (배경 음악, 바닥 카펫, 흡음재 등)",expanded,Q62[M3],다음 중 우리 기업의 오피스에 마련되어 있는 환경 개선 요소를 모두 선택해 주세요.
Q66_M4,"오피스 내 환경 개선 요소__공기질 개선을 위한 요소 (식물, 제습기, 가습기, 공기청정기 등)",expanded,Q62[M4],다음 중 우리 기업의 오피스에 마련되어 있는 환경 개선 요소를 모두 선택해 주세요.
Q66_M5,"오피스 내 환경 개선 요소__편안한 업무 분위기 조성을 위한 요소 (향기 디퓨저, 그래픽적 인테리어 요소)",expanded,Q62[M5],다음 중 우리 기업의 오피스에 마련되어 있는 환경 개선 요소를 모두 선택해 주세요.
Q66_M6,"오피스 내 환경 개선 요소__유연한 업무 행태를 보조하기 위한 요소 (이동식 콘센트/배터리 충전 스테이션, 로봇 등)",expanded,Q62[M6],다음 중 우리 기업의 오피스에 마련되어 있는 환경 개선 요소를 모두 선택해 주세요.
Q66_M7,오피스 내 환경 개선 요소__기타 (직접 입력),expanded,Q62[M7],다음 중 우리 기업의 오피스에 마련되어 있는 환경 개선 요소를 모두 선택해 주세요.
Q66_M7_TEXT,오피스 내 환경 개선 요소__기타_텍스트,expanded,Q62[M7],다음 중 우리 기업의 오피스에 마련되어 있는 환경 개선 요소를 모두 선택해 주세요.
Q67,지원 공간 및 편의 시설,raw,Q63,다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M1,지원 공간 및 편의 시설__마련되어 있는 것 없음,expanded,Q63[M1],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M2,지원 공간 및 편의 시설__다목적 워크 라운지,expanded,Q63[M2],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M3,지원 공간 및 편의 시설__워크숍 룸,expanded,Q63[M3],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M4,지원 공간 및 편의 시설__별도 집중 업무 공간,expanded,Q63[M4],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M5,지원 공간 및 편의 시설__콰이엇 존/테크프리(Tech-free) 존,expanded,Q63[M5],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M6,지원 공간 및 편의 시설__야외 업무 공간,expanded,Q63[M6],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M7,지원 공간 및 편의 시설__메이커 스페이스 (시제품 제작 공간),expanded,Q63[M7],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M8,지원 공간 및 편의 시설__촬영 스튜디오,expanded,Q63[M8],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M9,지원 공간 및 편의 시설__라이브러리,expanded,Q63[M9],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M10,지원 공간 및 편의 시설__카페테리아,expanded,Q63[M10],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M11,지원 공간 및 편의 시설__플레이 룸/게임 룸,expanded,Q63[M11],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M12,지원 공간 및 편의 시설__운동 경기장/러닝 트렉,expanded,Q63[M12],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M13,지원 공간 및 편의 시설__의료실/헬스케어 센터/멘탈케어 센터,expanded,Q63[M13],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M14,지원 공간 및 편의 시설__피트니스 센터,expanded,Q63[M14],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M15,지원 공간 및 편의 시설__어린이집/보육원/데이케어 센터,expanded,Q63[M15],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M16,지원 공간 및 편의 시설__수면실/샤워실,expanded,Q63[M16],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M17,지원 공간 및 편의 시설__양치실,expanded,Q63[M17],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M18,지원 공간 및 편의 시설__명상실,expanded,Q63[M18],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M19,지원 공간 및 편의 시설__편의점,expanded,Q63[M19],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M20,지원 공간 및 편의 시설__세탁소/런드리 룸,expanded,Q63[M20],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M21,지원 공간 및 편의 시설__자전거 보관실/거치대,expanded,Q63[M21],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M22,지원 공간 및 편의 시설__문서수발실/우편실,expanded,Q63[M22],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M23,지원 공간 및 편의 시설__기타 (직접 입력),expanded,Q63[M23],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q67_M23_TEXT,지원 공간 및 편의 시설__기타_텍스트,expanded,Q63[M23],다음 중 우리 기업의 오피스에 마련되어 있는 업무 지원 공간 및 생활 편의 시설을 모두 선택해 주세요.
Q68,협업 공간 요소,raw,Q64,다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q68_M1,협업 공간 요소__보기 중 마련되어 있는 것 없음,expanded,Q64[M1],다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q68_M2,"협업 공간 요소__화상 회의 시스템 (카메라, 마이크, 디스플레이 등)",expanded,Q64[M2],다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q68_M3,협업 공간 요소__이동형 테이블/의자,expanded,Q64[M3],다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q68_M4,협업 공간 요소__스탠딩 테이블/바 스툴,expanded,Q64[M4],다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q68_M5,협업 공간 요소__소파,expanded,Q64[M5],다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q68_M6,협업 공간 요소__화이트 보드,expanded,Q64[M6],다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q68_M7,협업 공간 요소__계단식 스탠드,expanded,Q64[M7],다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q68_M8,협업 공간 요소__회의 보조용 AI/로봇,expanded,Q64[M8],다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q68_M9,협업 공간 요소__기타(직접 입력),expanded,Q64[M9],다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q68_M9_TEXT,협업 공간 요소__기타_텍스트,expanded,Q64[M9],다음 중 우리 기업의 협업 공간에 마련되어 있는 요소를 모두 선택해주세요.
Q69,오피스는 기능 공간인가(동의 여부),raw,Q66,"다음 문장에 대해 얼마나 동의하시나요? 오피스는 특정 목표(업무 능률 증진, 과업 목표 달성 등)를 달성하기 위한 수단이다. 목표 달성을 위한 기능적 측면을 강화해야 한다."
Q70,오피스는 생활 공간인가(동의 여부),raw,Q67,"다음 문장에 대해 얼마나 동의하시나요? 오피스는 조직 구성원들이 근무 시간 동안 지내는 일종의 생활 공간이다. 구성원들이 원하는 분위기, 감성, 편의성도 업무 보조 기능에 준하는 중요한 요소이다."
Q71,오피스에서 일만 하고 싶다 vs 일 외적인 활동도 하고 싶다,raw,Q68,다음 중 더 선호하는 것을 선택해 주세요.
Q72,오피스에 조직문화가 잘 반영되어 있는가,raw,Q69,우리 회사의 공간은 기업의 조직문화와 핵심가치를 잘 반영하고 있나요?
Q73,조직 문화를 반영한 오피스에 대한 인식,raw,Q70,조직문화와 핵심가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q73_M1,조직 문화를 반영한 오피스에 대한 인식__회사의 방향성에 구성원의 업무목표를 연계시키기 용이,expanded,Q70[M1],조직문화와 핵심가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q73_M2,조직 문화를 반영한 오피스에 대한 인식__회사에 대한 구성원들의 신뢰 증진,expanded,Q70[M2],조직문화와 핵심가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q73_M3,조직 문화를 반영한 오피스에 대한 인식__업무 몰입도 증진,expanded,Q70[M3],조직문화와 핵심가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q73_M4,조직 문화를 반영한 오피스에 대한 인식__공동체 의식&조직 소속감 증진,expanded,Q70[M4],조직문화와 핵심가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q73_M5,조직 문화를 반영한 오피스에 대한 인식__심리적 안정감 증진,expanded,Q70[M5],조직문화와 핵심가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q73_M6,조직 문화를 반영한 오피스에 대한 인식__일하는 공간에 대한 구성원들의 만족도 증진,expanded,Q70[M6],조직문화와 핵심가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q73_M7,조직 문화를 반영한 오피스에 대한 인식__기타 (직접 입력),expanded,Q70[M7],조직문화와 핵심가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q73_M7_TEXT,조직 문화를 반영한 오피스에 대한 인식__기타_텍스트,expanded,Q70[M7],조직문화와 핵심가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q74,오피스 공간 변화에 참여해 본 경험이 있는가,raw,Q71,기업의 물리적 환경 변화를 위한 활동*에 참여해본 경험이 있으신가요? 경험이 있으시다면 참여한 방식을 모두 선택해 주세요. * 개선/교체/정비/디자인
Q74_M1,오피스 공간 변화에 참여해 본 경험이 있는가__참여 경험이 없다,expanded,Q71[M1],기업의 물리적 환경 변화를 위한 활동*에 참여해본 경험이 있으신가요? 경험이 있으시다면 참여한 방식을 모두 선택해 주세요. * 개선/교체/정비/디자인
Q74_M2,오피스 공간 변화에 참여해 본 경험이 있는가__설문 조사 참여,expanded,Q71[M2],기업의 물리적 환경 변화를 위한 활동*에 참여해본 경험이 있으신가요? 경험이 있으시다면 참여한 방식을 모두 선택해 주세요. * 개선/교체/정비/디자인
Q74_M3,오피스 공간 변화에 참여해 본 경험이 있는가__인터뷰 참여,expanded,Q71[M3],기업의 물리적 환경 변화를 위한 활동*에 참여해본 경험이 있으신가요? 경험이 있으시다면 참여한 방식을 모두 선택해 주세요. * 개선/교체/정비/디자인
Q74_M4,오피스 공간 변화에 참여해 본 경험이 있는가__워크샵 참여,expanded,Q71[M4],기업의 물리적 환경 변화를 위한 활동*에 참여해본 경험이 있으신가요? 경험이 있으시다면 참여한 방식을 모두 선택해 주세요. * 개선/교체/정비/디자인
Q74_M5,오피스 공간 변화에 참여해 본 경험이 있는가__사내 공모 등으로 아이디어 개진,expanded,Q71[M5],기업의 물리적 환경 변화를 위한 활동*에 참여해본 경험이 있으신가요? 경험이 있으시다면 참여한 방식을 모두 선택해 주세요. * 개선/교체/정비/디자인
Q74_M6,오피스 공간 변화에 참여해 본 경험이 있는가__사내 공모 등으로 계획안 및 디자인 제안 참여,expanded,Q71[M6],기업의 물리적 환경 변화를 위한 활동*에 참여해본 경험이 있으신가요? 경험이 있으시다면 참여한 방식을 모두 선택해 주세요. * 개선/교체/정비/디자인
Q74_M7,오피스 공간 변화에 참여해 본 경험이 있는가__기타 (직접 입력),expanded,Q71[M7],기업의 물리적 환경 변화를 위한 활동*에 참여해본 경험이 있으신가요? 경험이 있으시다면 참여한 방식을 모두 선택해 주세요. * 개선/교체/정비/디자인
Q74_TEXT,오피스 공간 변화에 참여해 본 경험이 있는가__기타_텍스트,expanded,Q71[TEXT],기업의 물리적 환경 변화를 위한 활동*에 참여해본 경험이 있으신가요? 경험이 있으시다면 참여한 방식을 모두 선택해 주세요. * 개선/교체/정비/디자인
Q75,오피스 공간 변화에 참여해 본 경험에 대한 평가,raw,Q72,물리적 환경 변화에 참여했던 경험을 어떻게 평가하시나요?
Q76,오피스 공간 변화 참여 경험_긍정적 평가 이유,raw,Q73,기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 긍정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q76_M1,오피스 공간 변화 참여 경험_긍정적 평가 이유__해당 참여 경험이 업무 성과로 인정 받았다.,expanded,Q73[M1],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 긍정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
